Member,KMeans,GMM,Agglomerative,Hierarchical,RFM,Spark KMeans,RFM_Score,RFM_Segment,KMeans_Percent,GMM_Percent,Agglomerative_Percent,Hierarchical_Percent,RFM_Percent,SparkKMeans_Percent
4110,3,1,1,2,3,1,12,VIP,16.7,21.58,29.89,29.89,16.88,16.24
4112,3,3,1,2,2,1,10,VIP,16.7,24.96,29.89,29.89,32.84,16.24
4113,2,0,1,2,2,3,9,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
4114,2,0,1,2,1,3,7,Loyal Customers,36.63,28.35,29.89,29.89,20.99,36.35
4115,2,3,1,2,1,3,7,Loyal Customers,36.63,24.96,29.89,29.89,20.99,36.35
4116,2,2,0,4,1,3,6,Ordinary Buyers,36.63,25.12,36.76,36.76,20.99,36.35
4117,2,1,1,2,3,3,12,VIP,36.63,21.58,29.89,29.89,16.88,36.35
4118,0,0,2,3,1,2,6,Ordinary Buyers,26.68,28.35,22.76,22.76,20.99,27.32
4119,0,3,0,4,1,2,7,Loyal Customers,26.68,24.96,36.76,36.76,20.99,27.32
4120,2,1,1,2,2,3,10,VIP,36.63,21.58,29.89,29.89,32.84,36.35
4121,2,1,1,2,2,3,10,VIP,36.63,21.58,29.89,29.89,32.84,36.35
4122,2,0,0,4,1,3,7,Loyal Customers,36.63,28.35,36.76,36.76,20.99,36.35
4123,0,0,0,4,1,2,6,Ordinary Buyers,26.68,28.35,36.76,36.76,20.99,27.32
4124,3,3,3,1,3,1,11,VIP,16.7,24.96,10.6,10.6,16.88,16.24
4125,0,3,0,4,1,2,7,Loyal Customers,26.68,24.96,36.76,36.76,20.99,27.32
4126,1,3,2,3,1,0,6,Ordinary Buyers,19.98,24.96,22.76,22.76,20.99,20.09
4127,2,0,1,2,2,3,10,VIP,36.63,28.35,29.89,29.89,32.84,36.35
4129,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4130,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4131,2,3,1,2,2,3,9,Loyal Customers,36.63,24.96,29.89,29.89,32.84,36.35
4132,2,2,0,4,0,3,5,Ordinary Buyers,36.63,25.12,36.76,36.76,29.3,36.35
4133,2,0,1,2,2,3,8,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
4134,2,1,1,2,3,3,11,VIP,36.63,21.58,29.89,29.89,16.88,36.35
4135,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4136,0,0,2,3,0,2,5,Ordinary Buyers,26.68,28.35,22.76,22.76,29.3,27.32
